proposal_no,decision,occurrences,meeting,meeting_ym
WL/KL/ROAD/401933/2022,approved,1,15 April 2025,2025-04
WL/KL/INFRA/491140/2024,deferred,1,15 April 2025,2025-04
WL/KL/MIN/QRY/453300/2023,recommended,1,15 April 2025,2025-04
WL/KL/MIN/QRY/475208/2024,approved,1,15 April 2025,2025-04
WL/TG/ROAD/427485/2023,approved,1,15 April 2025,2025-04
WL/MP/ROAD/414113/2023,recommended,1,15 April 2025,2025-04
WL/TG/Others/453953/2023,,1,15 April 2025,2025-04
WL/TG/Others/443910/2023,,1,15 April 2025,2025-04
WL/TG/Others/450361/2023,,1,15 April 2025,2025-04
WL/RJ/Others/468154/2024,recommended,1,15 April 2025,2025-04
WL/RJ/Others/436913/2023,recommended,1,15 April 2025,2025-04
WL/RJ/Others/436907/2023,recommended,1,15 April 2025,2025-04
WL/RJ/Others/436912/2023,recommended,1,15 April 2025,2025-04
WL/RJ/Others/436901/2023,recommended,1,15 April 2025,2025-04
WL/RJ/Others/438250/2023,recommended,1,15 April 2025,2025-04
WL/RJ/Others/448409/2023,recommended,1,15 April 2025,2025-04
WL/RJ/Others/436910/2023,recommended,1,15 April 2025,2025-04
WL/RJ/Others/436629/2023,recommended,1,15 April 2025,2025-04
WL/UK/Others/435398/2023,recommended,1,15 April 2025,2025-04
WL/AR/ROAD/469050/2024,recommended,1,15 April 2025,2025-04
WL/MN/ROAD/450489/2023,recommended,1,15 April 2025,2025-04
WL/RJ/ROAD/422620/2023,approved,1,15 April 2025,2025-04
WL/RJ/ROAD/468056/2024,recommended,1,15 April 2025,2025-04
WL/RJ/ROAD/427666/2023,recommended,1,15 April 2025,2025-04
WL/SK/ROAD/472734/2024,recommended,1,15 April 2025,2025-04
WL/TN/ROAD/465687/2024,deferred,1,15 April 2025,2025-04
WL/TN/Approach/454005/2023,approved,1,15 April 2025,2025-04
WL/TN/Approach/437418/2023,approved,1,15 April 2025,2025-04
WL/MN/DEF/502383/2024,recommended,1,15 April 2025,2025-04
WL/MZ/DEF/487938/2024,recommended,1,15 April 2025,2025-04
WL/RJ/DISP/417321/2023,recommended,1,15 April 2025,2025-04
WL/RJ/DRKWATER/493053/2024,recommended,1,15 April 2025,2025-04
WL/RJ/DRKWATER/491532/2024,recommended,1,15 April 2025,2025-04
WL/WB/Others/442034/2023,recommended,1,15 April 2025,2025-04
WL/WB/DRKWATER/441051/2023,recommended,1,15 April 2025,2025-04
WL/WB/DRKWATER/440922/2023,recommended,1,15 April 2025,2025-04
WL/WB/DRKWATER/444333/2023,recommended,1,15 April 2025,2025-04
WL/WB/DRKWATER/441092/2023,recommended,1,15 April 2025,2025-04
WL/WB/Others/452885/2023,approved,1,15 April 2025,2025-04
WL/TN/IND/440979/2023,deferred,1,15 April 2025,2025-04
WL/TN/IND/422048/2023,deferred,1,15 April 2025,2025-04
WL/RJ/IRRIG/436540/2023,recommended,1,15 April 2025,2025-04
WL/MH/MIN/QRY/463196/2024,deferred,1,15 April 2025,2025-04
WL/TN/MIN/QRY/433503/2023,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/492684/2024,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/493019/2024,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/493786/2024,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/432598/2023,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/423147/2023,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/493143/2024,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/483482/2024,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/465197/2024,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/483368/2024,recommended,1,15 April 2025,2025-04
WL/TN/MIN/QRY/426578/2023,recommended,1,15 April 2025,2025-04
WL/RJ/OFC/495641/2024,recommended,1,15 April 2025,2025-04
WL/TN/OFC/452579/2023,approved,1,15 April 2025,2025-04
WL/TG/OFC/433997/2023,recommended,1,15 April 2025,2025-04
WL/WB/OFC/440681/2023,recommended,1,15 April 2025,2025-04
WL/AR/Others/460252/2024,recommended,1,15 April 2025,2025-04
WL/AS/Others/470407/2024,recommended,1,15 April 2025,2025-04
WL/GJ/Others/497612/2024,recommended,1,15 April 2025,2025-04
WL/HP/Others/490933/2024,deferred,1,15 April 2025,2025-04
WL/HP/Others/490806/2024,deferred,1,15 April 2025,2025-04
WL/MH/Others/472801/2024,recommended,1,15 April 2025,2025-04
WL/MN/Others/465726/2024,recommended,1,15 April 2025,2025-04
WL/UK/Others/442015/2023,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/438054/2023,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/495146/2024,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/438061/2023,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/495252/2024,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/458481/2024,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/458638/2024,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/494772/2024,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/458483/2024,recommended,1,15 April 2025,2025-04
WL/MH/Pipeline/458482/2024,recommended,1,15 April 2025,2025-04
WL/RJ/Pipeline/478515/2024,recommended,1,15 April 2025,2025-04
WL/CG/VELEC/464711/2024,deferred,1,15 April 2025,2025-04
WL/CG/VELEC/464972/2024,deferred,1,15 April 2025,2025-04
WL/MH/VELEC/462170/2024,recommended,1,15 April 2025,2025-04
WL/RJ/Others/444844/2023,recommended,1,15 April 2025,2025-04
WL/RJ/Others/479603/2024,recommended,1,15 April 2025,2025-04
WL/MH/RAIL/490993/2024,approved,1,15 April 2025,2025-04
WL/MH/VocTraining/479219/2024,recommended,1,15 April 2025,2025-04
WL/MP/DRKWATER/459107/2024,approved,1,15 April 2025,2025-04
WL/MP/DRKWATER/459547/2024,approved,1,15 April 2025,2025-04
WL/MP/Pipeline/486323/2024,recommended,1,15 April 2025,2025-04
WL/MP/DRKWATER/458720/2024,approved,1,15 April 2025,2025-04
WL/MH/IRRIG/491594/2024,approved,1,15 April 2025,2025-04
WL/AP/ROAD/448446/2023,approved,1,15 April 2025,2025-04
WL/AP/ROAD/456886/2023,deferred,1,15 April 2025,2025-04
WL/AP/ROAD/496488/2024,deferred,1,15 April 2025,2025-04
WL/BR/ROAD/401942/2022,recommended,1,15 April 2025,2025-04
WL/KA/CommPost/444009/2023,recommended,1,15 April 2025,2025-04
WL/RJ/DRKWATER/471990/2024,deferred,1,15 April 2025,2025-04
WL/KA/Others/449386/2023,deferred,1,09 January 2025,2025-01
WL/MP/ROAD/468597/2024,deferred,1,09 January 2025,2025-01
WL/MH/INFRA/437281/2023,,2,09 January 2025,2025-01
WL/MH/INFRA/437314/2023,recommended,3,09 January 2025,2025-01
WL/UP/TRANS/447765/2023,deferred,1,09 January 2025,2025-01
WL/UK/MIN/QRY/455411/2023,deferred,1,09 January 2025,2025-01
WL/AS/Others/445754/2023,recommended,1,09 January 2025,2025-01
WL/MH/TRANS/419749/2023,,1,09 January 2025,2025-01
WL/MH/TRANS/450298/2023,,1,09 January 2025,2025-01
WL/GJ/CommPost/459053/2024,,1,09 January 2025,2025-01
WL/KA/CommPost/446052/2023,,1,09 January 2025,2025-01
WL/LA/DEF/465822/2024,recommended,1,09 January 2025,2025-01
WL/LA/DEF/478450/2024,,1,09 January 2025,2025-01
WL/LA/DEF/478470/2024,,1,09 January 2025,2025-01
WL/LA/DEF/478834/2024,,1,09 January 2025,2025-01
WL/LA/DEF/478876/2024,,1,09 January 2025,2025-01
WL/LA/DEF/479047/2024,,1,09 January 2025,2025-01
WL/LA/DEF/479063/2024,,1,09 January 2025,2025-01
WL/LA/DEF/479091/2024,,1,09 January 2025,2025-01
WL/LA/DEF/489109/2024,,1,09 January 2025,2025-01
WL/LA/DEF/492851/2024,,1,09 January 2025,2025-01
WL/LA/DEF/494233/2024,,1,09 January 2025,2025-01
WL/MZ/DEF/487818/2024,,1,09 January 2025,2025-01
WL/GJ/DRKWATER/454115/2023,,1,09 January 2025,2025-01
WL/KL/RainHarvest/487100/2024,,1,09 January 2025,2025-01
WL/MH/Pipeline/441660/2023,,1,09 January 2025,2025-01
WL/MH/Pipeline/458476/2024,,1,09 January 2025,2025-01
WL/MH/Pipeline/458479/2024,,1,09 January 2025,2025-01
WL/MH/Pipeline/458492/2024,,1,09 January 2025,2025-01
WL/RJ/IND/443744/2023,,1,09 January 2025,2025-01
WL/MP/IRRIG/478045/2024,,1,09 January 2025,2025-01
WL/LA/PetrolPump/495045/2024,,1,09 January 2025,2025-01
WL/LA/PetrolPump/495415/2024,,1,09 January 2025,2025-01
WL/AR/ROAD/459661/2024,,1,09 January 2025,2025-01
WL/MP/ROAD/465293/2024,,1,09 January 2025,2025-01
WL/MP/ROAD/468549/2024,,1,09 January 2025,2025-01
WL/MP/ROAD/468409/2024,,1,09 January 2025,2025-01
WL/MP/ROAD/468539/2024,,1,09 January 2025,2025-01
WL/MP/ROAD/480149/2024,,1,09 January 2025,2025-01
WL/MP/ROAD/468651/2024,,1,09 January 2025,2025-01
WL/MP/ROAD/465890/2024,,1,09 January 2025,2025-01
WL/MZ/ROAD/489262/2024,,1,09 January 2025,2025-01
WL/MH/TRANS/463003/2024,recommended,1,09 January 2025,2025-01
WL/RJ/TRANS/429646/2023,,1,09 January 2025,2025-01
WL/AS/Others/470486/2024,,1,09 January 2025,2025-01
WL/KA/Others/452195/2023,,1,09 January 2025,2025-01
WL/MH/Others/458729/2024,,1,09 January 2025,2025-01
WL/UK/Others/444188/2023,,1,09 January 2025,2025-01
WL/UK/Others/479373/2024,,1,09 January 2025,2025-01
WL/LA/DEF/464001/2024,,1,09 January 2025,2025-01
WL/WB/DRKWATER/440375/2023,,1,09 January 2025,2025-01
WL/WB/DRKWATER/440930/2023,,1,09 January 2025,2025-01
WL/WB/DRKWATER/485048/2024,,1,09 January 2025,2025-01
WL/WB/DRKWATER/440914/2023,,1,09 January 2025,2025-01
WL/WB/DRKWATER/440928/2023,,1,09 January 2025,2025-01
WL/WB/DRKWATER/444332/2023,,1,09 January 2025,2025-01
WL/WB/DRKWATER/456485/2023,,1,09 January 2025,2025-01
WL/KA/HYD/492126/2024,,1,09 January 2025,2025-01
WL/KL/INFRA/468516/2024,,1,09 January 2025,2025-01
WL/MH/MIN/QRY/464915/2024,,1,09 January 2025,2025-01
WL/MH/MIN/QRY/466076/2024,,1,09 January 2025,2025-01
WL/MP/ROAD/424791/2023,,1,09 January 2025,2025-01
WL/MZ/ROAD/494397/2024,,1,09 January 2025,2025-01
WL/RJ/Road/431951/2023,,1,09 January 2025,2025-01
WL/AR/Others/449442/2023,,1,15 October 2024,2024-10
WL/AR/Others/449439/2023,,1,15 October 2024,2024-10
WL/AR/Others/449440/2023,,1,15 October 2024,2024-10
WL/AR/Others/449436/2023,,1,15 October 2024,2024-10
WL/AR/Others/449437/2023,,1,15 October 2024,2024-10
WL/AR/Others/449438/2023,approved,1,15 October 2024,2024-10
WL/HP/Others/438456/2023,recommended,1,15 October 2024,2024-10
WL/KA/DRKWATER/431333/2023,deferred,1,15 October 2024,2024-10
WL/OR/CommPost/443868/2023,,1,15 October 2024,2024-10
WL/RJ/Others/446515/2023,,1,15 October 2024,2024-10
WL/RJ/Others/448602/2023,,1,15 October 2024,2024-10
WL/RJ/Others/451186/2023,,1,15 October 2024,2024-10
WL/RJ/Others/451233/2023,,1,15 October 2024,2024-10
WL/RJ/Others/447371/2023,,1,15 October 2024,2024-10
WL/RJ/Others/437546/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/441193/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/440966/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/445228/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/441204/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/441195/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/440973/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/441123/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/441091/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/445239/2023,,1,15 October 2024,2024-10
WL/KA/CommPost/441163/2023,,1,15 October 2024,2024-10
WL/UK/DEF/447117/2023,,1,15 October 2024,2024-10
WL/UK/DEF/447120/2023,,1,15 October 2024,2024-10
WL/UK/DEF/448504/2023,,1,15 October 2024,2024-10
WL/UK/DEF/466564/2024,,1,15 October 2024,2024-10
WL/UK/DEF/466583/2024,,1,15 October 2024,2024-10
WL/UK/DEF/466598/2024,,1,15 October 2024,2024-10
WL/UK/DEF/471369/2024,,1,15 October 2024,2024-10
WL/UK/DRKWATER/450449/2023,,1,15 October 2024,2024-10
WL/UK/DRKWATER/452736/2023,,1,15 October 2024,2024-10
WL/UK/DRKWATER/450392/2023,,1,15 October 2024,2024-10
WL/UK/DRKWATER/450895/2023,,1,15 October 2024,2024-10
WL/UK/DRKWATER/454549/2023,deferred,1,15 October 2024,2024-10
WL/AS/RAIL/464292/2024,,1,15 October 2024,2024-10
WL/LA/CommPost/495534/2024,,1,15 October 2024,2024-10
WL/LA/CommPost/495583/2024,,1,15 October 2024,2024-10
WL/LA/CommPost/495875/2024,,1,15 October 2024,2024-10
WL/LA/CommPost/497706/2024,,1,15 October 2024,2024-10
WL/MH/Others/459136/2024,,1,15 October 2024,2024-10
WL/LA/DEF/463268/2024,,1,15 October 2024,2024-10
WL/LA/DEF/463771/2024,,1,15 October 2024,2024-10
WL/LA/DEF/464112/2024,,1,15 October 2024,2024-10
WL/LA/DEF/463163/2024,,1,15 October 2024,2024-10
WL/LA/DEF/494571/2024,,1,15 October 2024,2024-10
WL/AP/Others/496120/2024,deferred,1,15 October 2024,2024-10
WL/JK/ROAD/452832/2023,deferred,1,15 October 2024,2024-10
WL/GA/TRANS/401225/2022,recommended,1,23 August 2024,2024-08
WL/MH/Others/444473/2023,recommended,1,23 August 2024,2024-08
WL/RJ/ROAD/425348/2023,approved,1,23 August 2024,2024-08
WL/MH/Pipeline/434672/2023,approved,2,23 August 2024,2024-08
WL/AR/Others/441582/2023,,1,23 August 2024,2024-08
WL/BR/Others/433678/2023,,1,23 August 2024,2024-08
WL/BR/Others/433454/2023,,1,23 August 2024,2024-08
WL/BR/Others/433617/2023,,1,23 August 2024,2024-08
WL/BR/Others/433635/2023,,1,23 August 2024,2024-08
WL/BR/Others/433680/2023,,1,23 August 2024,2024-08
WL/BR/Others/433448/2023,,1,23 August 2024,2024-08
WL/BR/Others/433362/2023,,1,23 August 2024,2024-08
WL/BR/Others/457758/2024,,1,23 August 2024,2024-08
WL/BR/Others/433780/2023,,1,23 August 2024,2024-08
WL/GJ/CommPost/449391/2023,,1,23 August 2024,2024-08
WL/GJ/CommPost/430258/2023,,1,23 August 2024,2024-08
WL/GJ/TRANS/427319/2023,,1,23 August 2024,2024-08
WL/GJ/CommPost/434323/2023,,1,23 August 2024,2024-08
WL/GJ/Others/422947/2023,,1,23 August 2024,2024-08
WL/GJ/TRANS/434451/2023,,1,23 August 2024,2024-08
WL/GJ/Others/489079/2024,,1,23 August 2024,2024-08
WL/GJ/Others/488792/2024,,1,23 August 2024,2024-08
WL/HP/Others/430476/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/445121/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/445399/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/452117/2023,,1,23 August 2024,2024-08
WL/JK/Others/426237/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/440936/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/440540/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/441007/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/438952/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/440199/2023,,1,23 August 2024,2024-08
WL/JK/ROAD/453775/2023,,1,23 August 2024,2024-08
WL/JK/CommPost/452858/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/433053/2023,,1,23 August 2024,2024-08
WL/JK/DRKWATER/433039/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/444284/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/440959/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/440961/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/450936/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/450076/2023,,1,23 August 2024,2024-08
WL/KA/Pipeline/452488/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/440957/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/440955/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/440951/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/444279/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/439135/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/440945/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/440944/2023,,1,23 August 2024,2024-08
WL/KA/CommPost/442778/2023,,1,23 August 2024,2024-08
WL/MP/Pipeline/416706/2023,,1,23 August 2024,2024-08
WL/MP/Pipeline/416710/2023,,1,23 August 2024,2024-08
WL/MP/ROAD/427711/2023,,1,23 August 2024,2024-08
WL/MP/IRRIG/439001/2023,,1,23 August 2024,2024-08
WL/MP/Police/443294/2023,,1,23 August 2024,2024-08
WL/MP/Police/443295/2023,,1,23 August 2024,2024-08
WL/MP/ROAD/447754/2023,,1,23 August 2024,2024-08
WL/MP/DRKWATER/451196/2023,,1,23 August 2024,2024-08
WL/MP/INFRA/455805/2023,deferred,1,23 August 2024,2024-08
WL/MP/INFRA/457820/2024,,1,23 August 2024,2024-08
WL/MP/Pipeline/456200/2023,,1,23 August 2024,2024-08
WL/MP/DRKWATER/445831/2023,,1,23 August 2024,2024-08
WL/MH/ROAD/448039/2023,,1,23 August 2024,2024-08
WL/MH/CommPost/454248/2023,,1,23 August 2024,2024-08
WL/MH/Others/458418/2024,,1,23 August 2024,2024-08
WL/MH/Others/457436/2024,,1,23 August 2024,2024-08
WL/MH/DRKWATER/453615/2023,,1,23 August 2024,2024-08
WL/RJ/Others/436903/2023,,1,23 August 2024,2024-08
WL/RJ/Others/437801/2023,,1,23 August 2024,2024-08
WL/RJ/Others/437818/2023,,1,23 August 2024,2024-08
WL/RJ/Others/437819/2023,,1,23 August 2024,2024-08
WL/RJ/Others/437820/2023,,1,23 August 2024,2024-08
WL/RJ/Others/437825/2023,,1,23 August 2024,2024-08
WL/RJ/Others/437915/2023,,1,23 August 2024,2024-08
WL/RJ/Others/437944/2023,,1,23 August 2024,2024-08
WL/RJ/Others/437949/2023,,1,23 August 2024,2024-08
WL/RJ/Others/438041/2023,,1,23 August 2024,2024-08
WL/RJ/Others/438052/2023,,1,23 August 2024,2024-08
WL/RJ/Others/439373/2023,,1,23 August 2024,2024-08
WL/RJ/RAIL/448280/2023,,1,23 August 2024,2024-08
WL/RJ/Others/416511/2023,,1,23 August 2024,2024-08
WL/RJ/Others/436794/2023,,1,23 August 2024,2024-08
WL/TG/OFC/434140/2023,,1,23 August 2024,2024-08
WL/TG/OFC/442448/2023,,1,23 August 2024,2024-08
WL/TG/Others/442617/2023,,1,23 August 2024,2024-08
WL/TG/Others/442622/2023,,1,23 August 2024,2024-08
WL/TG/Others/443454/2023,,1,23 August 2024,2024-08
WL/TG/Others/443893/2023,,1,23 August 2024,2024-08
WL/TG/Others/443905/2023,,1,23 August 2024,2024-08
WL/TG/Others/445640/2023,,1,23 August 2024,2024-08
WL/TG/Others/445648/2023,,1,23 August 2024,2024-08
WL/TG/Others/445649/2023,,1,23 August 2024,2024-08
WL/TG/Others/450309/2023,,1,23 August 2024,2024-08
WL/TG/Others/450385/2023,,1,23 August 2024,2024-08
WL/UP/ROAD/448317/2023,deferred,1,23 August 2024,2024-08
WL/WB/CommPost/454802/2023,,1,23 August 2024,2024-08
WL/WB/CommPost/454813/2023,,1,23 August 2024,2024-08
WL/WB/CommPost/454824/2023,,1,23 August 2024,2024-08
WL/WB/CommPost/435253/2023,,1,23 August 2024,2024-08
WL/AP/ROAD/453233/2023,,1,28 February 2024,2024-02
WL/AR/ROAD/450201/2023,,1,28 February 2024,2024-02
WL/AS/RAIL/424045/2023,,1,28 February 2024,2024-02
WL/AS/ROAD/459949/2024,approved,1,28 February 2024,2024-02
WL/AS/RAIL/451176/2023,recommended,1,28 February 2024,2024-02
WL/AS/ROAD/436945/2023,approved,1,28 February 2024,2024-02
WL/CG/CommPost/444354/2023,approved,1,28 February 2024,2024-02
WL/CG/CommPost/449358/2023,approved,1,28 February 2024,2024-02
WL/MH/WATER/401658/2022,,1,28 February 2024,2024-02
WL/MH/WATER/406323/2022,recommended,1,28 February 2024,2024-02
WL/MH/Others/410154/2022,approved,1,28 February 2024,2024-02
WL/OR/Others/454531/2023,recommended,1,28 February 2024,2024-02
WL/RJ/ROAD/430715/2023,approved,1,28 February 2024,2024-02
WL/UP/Pipeline/413751/2023,approved,1,28 February 2024,2024-02
WL/WB/Others/443474/2023,approved,1,28 February 2024,2024-02
WL/WB/Others/442103/2023,approved,1,28 February 2024,2024-02
WL/WB/Others/443388/2023,approved,1,28 February 2024,2024-02
WL/WB/Others/443395/2023,approved,1,28 February 2024,2024-02
WL/WB/CommPost/450546/2023,,1,28 February 2024,2024-02
WL/UP/Others/451955/2023,approved,1,28 February 2024,2024-02
WL/AS/Others/459931/2024,,1,28 February 2024,2024-02
WL/GJ/RAIL/434899/2023,,1,28 February 2024,2024-02
WL/KL/Pipeline/432064/2023,,1,28 February 2024,2024-02
WL/MH/IRRIG/424345/2023,,1,28 February 2024,2024-02
WL/MH/DRKWATER/445999/2023,,1,28 February 2024,2024-02
WL/MH/Pipeline/446295/2023,,1,28 February 2024,2024-02
WL/MH/Pipeline/457059/2023,,1,28 February 2024,2024-02
WL/UP/RAIL/462604/2024,approved,1,28 February 2024,2024-02
WL/MP/TRANS/406630/2022,recommended,1,07 February 2024,2024-02
WL/TN/INFRA/442689/2023,approved,3,07 February 2024,2024-02
WL/AS/IND/429055/2023,recommended,1,07 February 2024,2024-02
WL/GA/Others/443396/2023,recommended,1,07 February 2024,2024-02
WL/GA/Others/443399/2023,recommended,1,07 February 2024,2024-02
WL/GJ/RAIL/450929/2023,recommended,1,07 February 2024,2024-02
WL/KL/Others/409956/2022,recommended,1,07 February 2024,2024-02
WL/KL/RainHarvest/413570/2023,recommended,1,07 February 2024,2024-02
WL/LA/DEF/449483/2023,recommended,1,07 February 2024,2024-02
WL/LA/DEF/449296/2023,recommended,1,07 February 2024,2024-02
WL/LA/Others/429679/2023,recommended,1,07 February 2024,2024-02
WL/MP/DeReservation/427374/2023,recommended,1,07 February 2024,2024-02
WL/MH/ROAD/428426/2023,recommended,1,07 February 2024,2024-02
WL/MH/Pipeline/442397/2023,approved,1,07 February 2024,2024-02
WL/MH/Pipeline/442246/2023,approved,1,07 February 2024,2024-02
WL/MH/DRKWATER/442406/2023,approved,1,07 February 2024,2024-02
WL/MH/Pipeline/442493/2023,approved,1,07 February 2024,2024-02
WL/MH/Pipeline/442610/2023,approved,1,07 February 2024,2024-02
WL/ML/Others/411092/2022,recommended,1,07 February 2024,2024-02
WL/RJ/Others/439785/2023,recommended,1,07 February 2024,2024-02
WL/TN/INFRA/435801/2023,,1,07 February 2024,2024-02
WL/TN/MIN/QRY/436061/2023,recommended,1,07 February 2024,2024-02
WL/TN/QRY/438202/2023,recommended,1,07 February 2024,2024-02
WL/TN/QRY/441447/2023,recommended,1,07 February 2024,2024-02
WL/TN/INFRA/437386/2023,,1,07 February 2024,2024-02
WL/UP/ROAD/426041/2023,recommended,1,07 February 2024,2024-02
WL/WB/CommPost/440799/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/440107/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/440637/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441380/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441384/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441408/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441573/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441577/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441584/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441608/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441919/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/441952/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/442892/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/442899/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/444115/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/446607/2023,recommended,1,07 February 2024,2024-02
WL/WB/Others/446609/2023,recommended,1,07 February 2024,2024-02
